competencia_id,deporte,evento,genero_evento
91,Judo,Judo Men's Lightweight,Masculino
92,Boxing,Boxing Men's Featherweight,Masculino
93,Tennis,Tennis Men's Doubles,Masculino
94,Shooting,Shooting Mixed Skeet,Mixto/Open
95,Wrestling,"Wrestling Men's Featherweight, Freestyle",Masculino
96,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Mixto/Open
97,Athletics,Athletics Women's Shot Put,Femenino
98,Rowing,Rowing Men's Coxed Eights,Masculino
99,Cycling,Cycling Women's Sprint,Femenino
100,Cycling,Cycling Women's 500 metres Time Trial,Femenino
101,Athletics,Athletics Men's 110 metres Hurdles,Masculino
102,Shooting,Shooting Mixed Trap,Mixto/Open
103,Athletics,Athletics Women's Marathon,Femenino
104,Athletics,Athletics Men's 100 metres,Masculino
105,Fencing,"Fencing Men's Foil, Team",Masculino
106,Fencing,"Fencing Men's Sabre, Team",Masculino
107,Swimming,Swimming Men's 100 metres Freestyle,Masculino
108,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Masculino
109,Boxing,Boxing Men's Lightweight,Masculino
110,Modern Pentathlon,Modern Pentathlon Men's Individual,Masculino
111,Boxing,Boxing Men's Welterweight,Masculino
112,Rowing,Rowing Men's Quadruple Sculls,Masculino
113,Rowing,Rowing Men's Double Sculls,Masculino
114,Rowing,Rowing Men's Coxed Pairs,Masculino
115,Athletics,Athletics Men's 400 metres Hurdles,Masculino
116,Athletics,Athletics Men's 400 metres,Masculino
117,Athletics,Athletics Men's Hammer Throw,Masculino
118,Weightlifting,Weightlifting Men's Featherweight,Masculino
119,Athletics,Athletics Men's 800 metres,Masculino
120,Hockey,Hockey Men's Hockey,Masculino
121,Alpine Skiing,Alpine Skiing Women's Slalom,Femenino
122,Rowing,Rowing Women's Single Sculls,Femenino
123,Swimming,Swimming Men's 50 metres Freestyle,Masculino
124,Weightlifting,Weightlifting Women's Featherweight,Femenino
125,Water Polo,Water Polo Women's Water Polo,Femenino
126,Figure Skating,Figure Skating Men's Singles,Masculino
127,Weightlifting,Weightlifting Men's Heavyweight,Masculino
128,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Mixto/Open
129,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Mixto/Open
130,Figure Skating,Figure Skating Mixed Team,Mixto/Open
131,Sailing,Sailing Women's Three Person Keelboat,Femenino
132,Cycling,"Cycling Women's Road Race, Individual",Femenino
133,Golf,Golf Women's Individual,Femenino
134,Softball,Softball Women's Softball,Femenino
135,Archery,Archery Women's Individual,Femenino
136,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Masculino
137,Volleyball,Volleyball Men's Volleyball,Masculino
138,Taekwondo,Taekwondo Women's Heavyweight,Femenino
139,Synchronized Swimming,Synchronized Swimming Women's Duet,Femenino
140,Synchronized Swimming,Synchronized Swimming Women's Team,Femenino
141,Taekwondo,Taekwondo Women's Featherweight,Femenino
142,Athletics,Athletics Men's Marathon,Masculino
143,Athletics,Athletics Men's 4 x 400 metres Relay,Masculino
144,Athletics,"Athletics Men's 10,000 metres",Masculino
145,Athletics,"Athletics Women's 3,000 metres",Femenino
146,Diving,Diving Women's Platform,Femenino
147,Shooting,"Shooting Men's Air Rifle, 10 metres",Masculino
148,Athletics,Athletics Men's 200 metres,Masculino
149,Weightlifting,Weightlifting Men's Flyweight,Masculino
150,Swimming,Swimming Men's 100 metres Backstroke,Masculino
151,Weightlifting,Weightlifting Men's Light-Heavyweight,Masculino
152,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Masculino
153,Fencing,"Fencing Men's Sabre, Individual",Masculino
154,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Masculino
155,Shooting,"Shooting Men's Free Pistol, 50 metres",Masculino
156,Shooting,"Shooting Men's Air Pistol, 10 metres",Masculino
157,Rowing,Rowing Men's Coxless Fours,Masculino
158,Boxing,Boxing Men's Light-Flyweight,Masculino
159,Boxing,Boxing Men's Super-Heavyweight,Masculino
160,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Masculino
161,Shooting,"Shooting Women's Air Rifle, 10 metres",Femenino
162,Weightlifting,Weightlifting Men's Middle-Heavyweight,Masculino
163,Athletics,Athletics Men's Javelin Throw,Masculino
164,Volleyball,Volleyball Women's Volleyball,Femenino
165,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Masculino
166,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Masculino
167,Athletics,"Athletics Men's 3,000 metres Steeplechase",Masculino
168,Wrestling,"Wrestling Men's Middleweight, Freestyle",Masculino
169,Swimming,Swimming Women's 100 metres Backstroke,Femenino
170,Swimming,Swimming Women's 200 metres Backstroke,Femenino
171,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Femenino
172,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Masculino
173,Modern Pentathlon,Modern Pentathlon Men's Team,Masculino
174,Boxing,Boxing Men's Bantamweight,Masculino
175,Athletics,Athletics Women's 200 metres,Femenino
176,Table Tennis,Table Tennis Women's Singles,Femenino
177,Table Tennis,Table Tennis Women's Doubles,Femenino
178,Shooting,Shooting Men's Skeet,Masculino
179,Swimming,Swimming Women's 50 metres Freestyle,Femenino
180,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Masculino
181,Athletics,Athletics Men's Triple Jump,Masculino
182,Weightlifting,Weightlifting Women's Lightweight,Femenino
183,Athletics,Athletics Women's Long Jump,Femenino
